id_sessao,data_sessao,dia_semana,hora_inicio,periodo_dia,tipo_local,perfil_usuario,categoria_veiculo,capacidade_bateria_kwh,bateria_inicial_pct,bateria_final_pct,variacao_bateria_pct,energia_consumida_kwh,potencia_media_kw,duracao_recarga_min,ocupacao_local_pct,fila_espera_min,tarifa_kwh_brl,custo_energia_brl,taxa_servico_brl,custo_total_brl
S001,2026-01-09,sexta,18,noite,centro_empresarial,mensalista,suv_eletrico,90.92,14.71,73.73,59.02,53.66,39.51,81,85.37,33,2.5,134.15,5.5,139.65
S002,2026-02-16,segunda,3,madrugada,eletroposto_comercial,mensalista,suv_eletrico,97.8,42.19,95.1,52.91,51.75,32.2,96,5.68,2,2.5,129.38,7.0,136.38
S003,2026-01-09,sexta,13,tarde,eletroposto_comercial,visitante,utilitario_eletrico,82.11,47.9,82.08,34.18,28.07,44.33,38,75.72,32,2.8,78.6,7.0,85.6
S004,2026-03-03,terca,18,noite,centro_empresarial,visitante,sedan_eletrico,51.1,17.71,65.03,47.32,24.18,39.13,37,93.54,24,2.5,60.45,5.5,65.95
S005,2026-02-06,sexta,7,manha,eletroposto_comercial,funcionario,compacto_eletrico,37.84,16.5,55.53,39.03,14.77,27.22,33,46.79,2,2.7,39.88,7.0,46.88
S006,2026-03-26,quinta,10,manha,shopping,frotista,van_eletrica,92.49,51.61,100.0,48.39,44.76,30.91,87,44.53,4,2.4,107.42,6.0,113.42
S007,2026-01-22,quinta,16,tarde,centro_empresarial,visitante,utilitario_eletrico,60.26,49.35,95.94,46.59,28.08,38.22,44,86.23,19,2.45,68.8,5.5,74.3
S008,2026-02-20,sexta,11,manha,estacionamento,mensalista,compacto_eletrico,36.72,43.42,82.26,38.84,14.26,35.0,24,55.6,6,2.25,32.09,5.0,37.09
S009,2026-02-21,sabado,15,tarde,estacionamento,mensalista,compacto_eletrico,39.56,11.54,49.01,37.47,14.82,26.94,33,61.34,11,2.35,34.83,5.0,39.83
S010,2026-03-31,terca,20,noite,shopping,funcionario,utilitario_eletrico,69.85,24.68,71.16,46.48,32.47,34.81,56,93.28,16,2.55,82.8,6.0,88.8
S011,2026-03-31,terca,15,tarde,estacionamento,mensalista,suv_eletrico,75.01,11.14,34.74,23.6,17.7,38.61,28,63.48,13,2.35,41.59,5.0,46.59
S012,2026-03-06,sexta,3,madrugada,eletroposto_comercial,mensalista,utilitario_eletrico,84.37,32.31,67.55,35.24,29.73,28.93,62,15.76,0,2.5,74.33,7.0,81.33
S013,2026-02-24,terca,8,manha,eletroposto_comercial,visitante,sedan_eletrico,74.05,55.43,100.0,44.57,33.0,28.12,70,58.77,6,2.7,89.1,7.0,96.1
S014,2026-01-24,sabado,18,noite,supermercado,motorista_app,van_eletrica,90.89,14.82,70.92,56.1,50.99,32.48,94,59.11,9,2.3,117.28,4.0,121.28
S015,2026-03-06,sexta,7,manha,eletroposto_comercial,mensalista,suv_eletrico,95.7,47.93,96.71,48.78,46.68,31.94,88,45.09,1,2.7,126.04,7.0,133.04
S016,2026-01-13,terca,14,tarde,shopping,motorista_app,van_eletrica,96.63,12.08,51.84,39.76,38.42,29.59,78,58.78,5,2.5,96.05,6.0,102.05
S017,2026-03-02,segunda,2,madrugada,shopping,mensalista,van_eletrica,117.0,39.05,72.92,33.87,39.63,35.59,67,13.57,1,2.2,87.19,6.0,93.19
S018,2026-01-14,quarta,23,noite,estacionamento,mensalista,suv_eletrico,72.48,34.33,73.96,39.63,28.72,43.57,40,75.73,31,2.4,68.93,5.0,73.93
S019,2026-02-18,quarta,11,manha,eletroposto_comercial,funcionario,utilitario_eletrico,78.22,31.95,52.81,20.86,16.32,41.0,24,55.85,8,2.7,44.06,7.0,51.06
S020,2026-02-18,quarta,3,madrugada,supermercado,mensalista,sedan_eletrico,66.81,24.06,70.44,46.38,30.99,38.72,48,24.22,0,1.95,60.43,4.0,64.43
S021,2026-01-29,quinta,2,madrugada,centro_empresarial,frotista,utilitario_eletrico,61.31,37.74,72.58,34.84,21.36,41.09,31,25.21,1,2.15,45.92,5.5,51.42
S022,2026-03-28,sabado,7,manha,supermercado,frotista,van_eletrica,100.6,22.8,80.24,57.44,57.78,25.79,134,26.8,1,2.15,124.23,4.0,128.23
S023,2026-01-27,terca,10,manha,eletroposto_comercial,frotista,compacto_eletrico,46.23,54.54,100.0,45.46,21.02,33.93,37,32.64,5,2.7,56.75,7.0,63.75
S024,2026-01-02,sexta,18,noite,supermercado,motorista_app,suv_eletrico,72.83,47.34,77.84,30.5,22.21,43.55,31,60.84,9,2.3,51.08,4.0,55.08
S025,2026-01-03,sabado,2,madrugada,shopping,frotista,utilitario_eletrico,66.27,39.97,94.95,54.98,36.44,26.52,82,20.76,0,2.2,80.17,6.0,86.17
S026,2026-03-31,terca,18,noite,supermercado,frotista,suv_eletrico,74.32,10.7,39.89,29.19,21.69,25.03,52,80.49,25,2.3,49.89,4.0,53.89
S027,2026-03-29,domingo,2,madrugada,supermercado,mensalista,utilitario_eletrico,80.34,19.99,72.15,52.16,41.91,38.45,65,23.47,4,1.95,81.72,4.0,85.72
S028,2026-03-16,segunda,3,madrugada,estacionamento,visitante,suv_eletrico,81.93,25.05,64.59,39.54,32.4,37.25,52,28.89,5,2.05,66.42,5.0,71.42
S029,2026-02-16,segunda,6,manha,eletroposto_comercial,frotista,suv_eletrico,86.66,41.7,65.94,24.24,21.01,25.23,50,36.76,0,2.7,56.73,7.0,63.73
S030,2026-01-01,quinta,23,noite,shopping,mensalista,compacto_eletrico,47.07,33.37,84.76,51.39,24.19,22.41,65,62.91,15,2.55,61.68,6.0,67.68
S031,2026-01-26,segunda,19,noite,supermercado,motorista_app,suv_eletrico,85.92,40.3,95.01,54.71,47.01,35.87,79,68.57,7,2.3,108.12,4.0,112.12
S032,2026-01-11,domingo,8,manha,eletroposto_comercial,mensalista,compacto_eletrico,48.01,32.69,62.6,29.91,14.36,27.44,31,49.84,3,2.7,38.77,7.0,45.77
S033,2026-03-17,terca,19,noite,eletroposto_comercial,visitante,utilitario_eletrico,80.81,17.31,70.3,52.99,42.82,29.14,88,51.47,5,2.85,122.04,7.0,129.04
S034,2026-03-24,terca,22,noite,estacionamento,visitante,compacto_eletrico,37.3,15.77,36.62,20.85,7.78,23.27,20,57.86,8,2.4,18.67,5.0,23.67
S035,2026-03-16,segunda,1,madrugada,estacionamento,mensalista,suv_eletrico,81.81,25.9,66.08,40.18,32.87,42.13,47,26.28,4,2.05,67.38,5.0,72.38
S036,2026-02-18,quarta,1,madrugada,estacionamento,visitante,utilitario_eletrico,68.73,38.56,75.21,36.65,25.19,23.13,65,14.34,1,2.05,51.64,5.0,56.64
S037,2026-03-25,quarta,12,tarde,eletroposto_comercial,visitante,compacto_eletrico,35.78,56.24,80.2,23.96,8.57,41.4,12,76.11,32,2.8,24.0,7.0,31.0
S038,2026-01-22,quinta,23,noite,supermercado,frotista,suv_eletrico,89.27,48.95,74.33,25.38,22.66,34.33,40,73.14,13,2.3,52.12,4.0,56.12
S039,2026-03-29,domingo,20,noite,eletroposto_comercial,mensalista,van_eletrica,105.58,23.32,48.91,25.59,27.02,32.99,49,63.76,9,2.85,77.01,7.0,84.01
